Company,City,State,Phone,Website,LinkedIn,Natoli Fit,Territory,Sales Rep,Industry,Confidence,Reason,503A,503B,GMP Likely,FDA Likely,Industry Match,Email_Subject,LinkedIn_Opening,Natoli_Angle,Press_OEM,Probable_Defects,Production_Stage,Tooling_Class
CBD Living,Corona,CA,-5399,https://cbdliving.com,https://linkedin.com/company/cbd-living,Both,West Coast,Fernando Delgado,cbd tablet manufacturing,100,Produces high-quality CBD tablets requiring both manufacturing equipment and formulation expertise,,,,,Yes,Enhancing Your CBD Tablet Production,"Hi, I noticed your work in CBD tablet manufacturing. I'd love to connect and discuss industry insights!",Discussing tooling options for CBD formulations.,Fette,"sticking, weight variation, capping",Scale-up,D
Premium Jane,Scottsdale,AZ,-6194,https://premiumjane.com,https://linkedin.com/company/premium-jane,Both,Rocky Mountain,Eric Maughan,cbd tablet manufacturing,100,"Manufactures CBD tablets, needing quality tablet presses and formulation services",,,,,Yes,Optimize Your CBD Tablet Production,"Hi, I noticed Premium Jane's focus on CBD tablets. I'd love to connect and discuss potential improvements in your tablet manufacturing process.",Discussing tooling options for CBD formulations.,Fette,"weight variation, capping, sticking",Scale-up,D
Koi CBD,Norwalk,CA,-6429,https://koicbd.com,https://linkedin.com/company/koi-cbd,Both,West Coast,Fernando Delgado,cbd tablet manufacturing,100,"Produces CBD tablets, necessitating advanced manufacturing and formulation solutions",,,,,Yes,Enhance Your CBD Tablet Production,"Hi, I noticed Koi CBD's innovative approach to CBD tablets. I'd love to connect and discuss potential improvements in your tablet manufacturing process.",Discussing tooling options for CBD formulations to enhance consistency.,Fette,"weight variation, capping, sticking",Scale-up,D
CBD Essence,Saint Petersburg,FL,-3426,https://cbdessence.net,https://linkedin.com/company/cbd-essence,Both,Southeast,Danny Ambrose,cbd tablet manufacturing,100,"Manufactures CBD tablets, requiring efficient tablet press solutions and formulation expertise",,,,,Yes,Optimizing Your CBD Tablet Production,"Hi, I noticed your work in CBD tablet manufacturing and would love to connect and share insights on optimizing tablet production.",Discussing tooling options for CBD formulations.,Fette,"weight variation, capping, sticking",Scale-up,D
CBD Pure,Vancouver,WA,-10923,https://cbdpure.com,https://linkedin.com/company/cbd-pure,Both,West Coast,Fernando Delgado,cbd tablet manufacturing,100,"Produces high-quality CBD tablets, needing advanced manufacturing and formulation capabilities",,,,,Yes,Optimizing Your CBD Tablet Production,"Hi, I see you're in CBD tablet manufacturing. I'd love to connect and discuss potential improvements in your tablet production process.",Discussing tooling options for CBD formulations,Fette,"sticking, weight variation, capping",Scale-up,D
Pharmachem Laboratories,Kearny,NJ,-1934,https://pharmachemlabs.com,https://linkedin.com/company/pharmachem-laboratories,Both,Northeast,Raffaele Romano,keto supplement tablets,100,Provides custom manufacturing for nutritional supplements including tablets,,,,,Yes,Enhancing Your Tablet Production Efficiency,"Hi, I see you're in keto supplements. I'd love to connect and discuss tablet production solutions that could benefit Pharmachem.",Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Ridgecrest Herbals,Salt Lake City,UT,-5690,https://rcherbals.com,https://linkedin.com/company/ridgecrest-herbals,Both,Rocky Mountain,Eric Maughan,immune booster tablets,100,Produces herbal supplements including those for immune health,,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I noticed Ridgecrest Herbals focuses on immune boosters. I'd love to connect and discuss tablet production solutions.",Discussing tooling options for immune booster formulations.,Fette,"weight variation, capping, sticking",Scale-up,D
"NutraBio Labs, Inc.",Middlesex,NJ,-10085,https://nutrabio.com,https://linkedin.com/company/nutrabio,Both,Northeast,Raffaele Romano,energy supplement tablets,100,"Produces high-quality dietary supplements, including energy products.",,,,,Yes,Optimize Your Tablet Production Process,"Hi, I noticed NutraBio Labs focuses on energy supplements. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling options for energy supplement formulations.,Fette,"weight variation, capping, sticking",Commercial,D
Bio-Tech Pharmacal,Fayetteville,AR,-10069,https://biotechpharmacal.com,https://linkedin.com/company/bio-tech-pharmacal,Both,Central,David Nelson,joint health tablets,100,Manufactures high-quality dietary supplements,,,,,,Enhancing Joint Health Tablet Production,"Hi, I noticed Bio-Tech Pharmacal's focus on joint health. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Neurohacker Collective,Carlsbad,CA,-3463,https://neurohacker.com,https://linkedin.com/company/neurohacker-collective,Both,West Coast,Fernando Delgado,brain health tablets,100,They produce brain health supplements and require advanced tooling and formulations.,,,,,,Enhancing Tablet Consistency for Brain Health,"Hi, I admire Neurohacker's focus on brain health. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Scale-up,D
BrainMD Health,Costa Mesa,CA,-7024,https://brainmd.com,https://linkedin.com/company/brainmd-health,Both,West Coast,Fernando Delgado,brain health tablets,100,They manufacture brain health supplements and require specialized tooling and formulations.,,,,,,Enhancing Tablet Quality for Brain Health,"Hi, I admire BrainMD's focus on brain health. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Nootropics Depot,Tempe,AZ,-10187,https://nootropicsdepot.com,https://linkedin.com/company/nootropics-depot,Both,Rocky Mountain,Eric Maughan,brain health tablets,100,"They specialize in cognitive supplements, requiring advanced formulation and manufacturing.",,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I see you're focused on brain health tablets. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling options for consistent tablet weight and quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Kerry Group,Beloit,WI,-2170,https://kerrygroup.com,https://linkedin.com/company/kerry-group,Both,Central,David Nelson,nutraceutical tablet manufacturing,100,Involved in the manufacturing and formulation of nutraceuticals,,,,,Yes,Enhancing Your Tablet Production Efficiency,"Hi, I noticed Kerry Group's focus on nutraceuticals. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling options for optimizing tablet consistency and reducing defects.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Vitamix Laboratories,Commack,NY,-9623,https://vitamixlabs.com,https://linkedin.com/company/vitamix-laboratories,Both,Northeast,Raffaele Romano,nutraceutical tablet manufacturing,100,Custom manufacturer of dietary and nutritional supplements,,,,,Yes,Enhancing Your Tablet Production Efficiency,"Hi, I noticed Vitamix's focus on nutraceuticals. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling options for improved tablet consistency.,"Fette, Korsch","capping, sticking, weight variation",Commercial,D
Battery Streak,Camarillo,CA,-1806,https://batterystreak.com,https://linkedin.com/company/battery-streak,Scientific,West Coast,Fernando Delgado,battery electrode manufacturing,90,Develops fast-charging battery technology,,,,,Yes,Exploring Custom Tooling Solutions,"Hi, I noticed your work in battery electrode manufacturing. I'd love to connect and discuss potential innovations in tablet production.",Discussing custom tooling solutions for unique formulations.,"Fette, Korsch","Weight variation, capping, sticking",R&D,Custom
Black Diamond Structures,Austin,TX,-6258,https://bdstructures.com,https://linkedin.com/company/black-diamond-structures,Scientific,Central,David Nelson,battery electrode manufacturing,90,Focuses on nanomaterials for energy storage,,,,,Yes,Exploring Custom Tooling Solutions,"Hi, I noticed your work in battery electrode manufacturing. I'd love to connect and discuss potential synergies in tablet production.",Discussing custom tooling solutions for unique formulations.,"Fette, Korsch","Weight variation, capping",R&D,Custom
Natrion,Binghamton,NY,,https://natrion.co,https://linkedin.com/company/natrion-co,Scientific,Northeast,Raffaele Romano,battery electrode manufacturing,80,Innovates solid-state battery materials,,,,,Yes,Enhancing Your Tablet Production Process,"Hi, I noticed your work in battery electrode manufacturing. I'd love to connect and discuss potential synergies in tablet production.",Discussing custom tooling solutions for unique formulations.,"Fette, Korsch","Weight variation, capping, sticking",R&D,Custom
