Company,Industry,Tier,Division,Fit,Territory,City,State,Country,Contacts,Tier1 Reason
Corning Incorporated,Advanced Ceramics,Tier 1,Natoli Engineering,Tooling,Southeast,Roanoke,Virginia,United States,596,Advanced ceramics producer with powder compaction for technical ceramic parts.
Oak Ridge National Laboratory,Nuclear Fuel,Tier 1,Natoli Engineering,Tooling,Southeast,Oak Ridge,Tennessee,United States,145,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
GSK,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,London,North Carolina,United States,120,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BWX Technologies (BWXT),Nuclear & Energy,Tier 1,Natoli Engineering,Tooling,Southeast,Lynchburg,Virginia,United States,98,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
Axalta,Battery Manufacturing,Tier 1,Natoli Engineering,Tooling,Southeast,Stephens City,Virginia,United States,97,Battery electrode manufacturer with cathode/anode compaction for cell production.
Catalent,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,Southeast,Tampa,Florida,United States,81,Contract development and manufacturing organization serving pharma clients with tablet production.
X-energy (Triso-X),Nuclear & Energy,Tier 1,Natoli Engineering,Tooling,Southeast,Rockville,Maryland,United States,32,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
"CORERX, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Clearwater,Florida,United States,26,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
GKN Powder Metallurgy,Powder Metallurgy,Tier 1,Natoli Engineering,Tooling,Southeast,,Tennessee,United Kingdom,26,PM parts producer with metal powder compaction for precision components.
"DEERLAND PROBIOTICS & ENZYMES, INC.",Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Kennesaw,Georgia,United States,20,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
SOCIETAL,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,Southeast,Gainesville,Georgia,United States,20,Contract development and manufacturing organization serving pharma clients with tablet production.
"ECI PHARMACEUTICALS, LLC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Port Saint Lucie,Florida,United States,17,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Aavis Pharmaceuticals,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Hoschton,Georgia,United States,15,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
