Company,Company Name for Emails,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Prerequisite: Research Target Company,Qualify Account,Prerequisite: Determine Research Guidelines
Olympia Pharmacy,Olympia Pharmacy,130,pharmaceuticals,tbeal@natoli.com,http://www.olympiapharmacy.com,http://www.linkedin.com/company/olympiapharma,https://facebook.com/olympiapharmaceuticals/,https://twitter.com/pharmacyolympia,6700 Conroy Rd,Orlando,Florida,United States,32835,"6700 Conroy Rd, Orlando, Florida, United States, 32835","503b outsourcing facility, usp 797, 800, mens health, womens health, age management, vein care, weight loss, health, wellness, erectile dysfunction, hrt, pharmaceutical manufacturing, b2b, medication quality management, medication safety testing, cgmp compliance, medication quality testing, custom medications, fda-registered facility, healthcare services, medication quality assurance programs, medication manufacturing standards, medication safety standards, medical devices, office-use medications, quality control, quality assurance, medication efficacy, medication safety protocols, compounding pharmacy, medication manufacturing, patient-specific medications, medication regulation, 503b outsourcing, medication compounding, medication safety regulations, medication quality standards, e-commerce, fda outsourcing, fda-registered, medication safety compliance, custom pharmaceutical solutions, cgmp standards, medication quality assurance, medication quality control, regulatory compliance, compounded medications, pharmaceutical quality, medication safety, regulatory standards, medication customization, services, medication stability, pharmaceuticals, 503a pharmacy, medication production, pharmaceutical and medicine manufacturing, iv nutritional therapy, erectile dysfunction treatments, testosterone replacement therapy, trimix injections, bioidentical hormone replacement therapy, oxytocin, vein therapy, dermatology products, weight management solutions, age management solutions, customized medications, hormone imbalance treatments, glp-1 agonists, anti-aging products, sclerotherapy, nutraceuticals, vitamin injections, iv kits, medical supervised weight loss, sterile compounding, non-sterile compounding, hcg, health supplements, nutritional deficiencies, weight loss programs, metabolism enhancers, lipo-mino mix, nad+ therapy, myers cocktail iv, alpha lipoic acid, vitamin b12 injections, hydration therapies, recovery iv kits, immune boost iv, acne treatments, skin lighteners, men's health products, women's health products, fat-burning solutions, vitamins and minerals, cme training, drug shortages, pharmaceutical compliance, healthcare solutions, pharmacy services, healthcare, manufacturing, distribution, medical, health care, health, wellness & fitness, hospital & health care, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering",'+1 407-673-2222,"Route 53, Outlook, Microsoft Office 365, UPS, Quantcast, New Relic, reCAPTCHA, Shutterstock, Nginx, Google Tag Manager, DoubleClick Conversion, Hubspot, Google Maps (Non Paid Users), Gravity Forms, Mobile Friendly, Google Analytics, Varnish, Google Font API, Google Dynamic Remarketing, WordPress.org, YouTube, DoubleClick, Hotjar, Woo Commerce, Google Maps, Remote",637000,Other,637000,5/1/2025,30600000,,68d55e569ec72d0021e3f91c,2834,32541,"Olympia Pharmaceuticals is a family-owned compounding pharmacy based in Orlando, Florida, established in 2009. The company operates as both an FDA-registered 503B outsourcing facility and a 503A pharmacy, providing high-quality compounded, traditional, and over-the-counter medications to providers, pharmacies, and patients across the United States. With over 35 years of combined experience, Olympia specializes in addressing national drug shortages through innovative compounding.

Led by CEO Dr. Mark Mikhael, PharmD, Olympia emphasizes regulatory expertise and advanced manufacturing practices. The company offers a range of pharmacy solutions, including patient-specific compounding and office-use medications. Key therapeutic areas include IV nutritional therapy, hormone replacement, weight management, and sexual health. All products undergo strict quality controls, ensuring reliable supply chain solutions for healthcare practices. Olympia serves a wide network of providers and pharmacies, supporting them with educational resources and nationwide delivery.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69695125d17553000164fc0c/picture,,,,,,,,
Farmakeio Custom Compounding,Farmakeio Custom Compounding,20,pharmaceuticals,tbeal@natoli.com,http://www.farmakeio.com,http://www.linkedin.com/company/fkopharmacynetwork,,,1736 N Greenville Ave,Richardson,Texas,United States,75081-1808,"1736 N Greenville Ave, Richardson, Texas, United States, 75081-1808","pharmaceutical manufacturing, b2b, fda compliance, veterinary compounded medications, rapid order turnaround, fda-registered manufacturing, patented compounded products, retail, bioidentical hormone pellets, exotic species medications, dye-free formulations, patient care, discontinued medication formulations, sterile and non-sterile compounding, faster recovery formulations, cold storage shipping, enhanced absorption pellets, preservative-free medications, high-quality pharmaceutical ingredients, non-sterile compounding, compounded hormone delivery systems, usp compliance, personalized formulations, supply chain management, precision medicine, compounding pharmacy, patient-specific medications, personalized hormone therapy, 503b outsourcing, custom formulations, outsourcing facility, bioidentical hormone therapy, e-commerce, customer service, research-driven formulations, custom pharmaceutical solutions, patented bioidentical pellets, compounded medications, integrative medicine formulations, usp guidelines, veterinary services, sterile compounding, veterinary medications, veterinary compounding, bioidentical hormone pellet patents, pharmaceuticals, services, custom pet medications, custom dosage forms, pharmaceutical and medicine manufacturing, healthcare, pharmaceutical, compounding, bioidentical hormones, fda registered, patented products, animal health, specialty formulations, outsource manufacturing, quality assurance, rapid turnaround, cold chain shipping, medical, logistics & supply chain, consumer internet, consumers, internet, information technology & services, health care, health, wellness & fitness, hospital & health care",'+1 888-204-7576,"Cloudflare DNS, Outlook, Microsoft Office 365, CloudFlare Hosting, Formstack, WordPress.org, Mobile Friendly, Google Font API, reCAPTCHA, Remote",,,,,,,68f65de1d5703400017bbe39,2834,32541,"We're at the forefront of pharmaceutical innovation, offering a rapidly expanding network of custom pharmaceutical operations. Known for our unwavering commitment to quality, cutting-edge technology, and expertise, we serve healthcare professionals across the United States with 503A and 503B pharmacy locations in New Mexico, Texas, and Arkansas. 

Our services include the manufacturing of patented bioidentical hormone pellets and the provision of commercially available medications, all while accommodating custom formulations to meet the unique needs of your patients. Join us in advancing healthcare solutions with precision and care.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66f8711ad3cfca0001c225f4/picture,,,,,,,,
Robinson Pharma Inc.,Robinson Pharma,240,"health, wellness & fitness",tbeal@natoli.com,http://www.robinsonpharma.com,http://www.linkedin.com/company/robinson-pharma,https://www.facebook.com/Robinson-Pharma-106415334519864/,https://twitter.com/robinsonpharma,3330 South Harbor Boulevard,Santa Ana,California,United States,92704,"3330 South Harbor Boulevard, Santa Ana, California, United States, 92704","vitamin manufacturing, capsule manufacturer, supplement manufacturing, vitamin tablet manufacturer, softgel manufacturer, private label vitamins & supplements, supplement powder manufacturer, vegetarian softgel manufacturer, hplc, organic certification, pet supplement manufacturing, international registration, dietary supplements, softgel, micro detection, gmp compliance, liquid, quality assurance, ftir, safety standards, vegetarian softgels, custom supplement formulation, powder, halal, gmp certification, b2b, manufacturing, product development, gummy manufacturing, innovative production methods, rapid turnaround time, custom formulation, tablet, food and beverage, us-based manufacturing, manufacturing capacity, nutritional products, packaging services, capsule, contract manufacturing, icp-ms, food safety, private label, supply chain management, private label dietary supplements, ul certified, microbiological testing, services, stickpack packaging, us facilities, personal care products, health and personal care, kosher, nsf certified, global raw material sourcing, organic certified, comprehensive quality control, regulatory compliance, cgmp, gc-ms, doll, toy, and game manufacturing, third-party certifications, integrated supply chain, disintegration testing, analytical testing, healthcare, distribution, health, wellness & fitness, mechanical or industrial engineering, food & beverages, consumer goods, consumers, logistics & supply chain, health care, hospital & health care, drugstores, shopping",'+1 714-241-0235,"Cloudflare DNS, Outlook, CloudFlare Hosting, Salesforce, WordPress.org, Mobile Friendly, reCAPTCHA, Google Tag Manager, Woo Commerce",,,,,101000000,1,68f65f11d5703400017c2a66,2834,33993,"Robinson Pharma, Inc. (RPI) is a global contract manufacturer based in Santa Ana, California, specializing in dietary supplements and personal health care products. Founded in 1990, RPI offers a comprehensive range of services, including custom formulation, production, packaging, labeling, and shipping. With over 30 years of experience, the company has expanded its operations significantly, recently adding multiple facilities to enhance its manufacturing capabilities.

RPI provides co-manufacturing for various supplement formats, including softgels, gummies, tablets, capsules, powders, and liquids. The company boasts impressive production capacities, such as 20 billion softgels and 7 billion gummies annually. RPI emphasizes quality and efficiency, holding multiple third-party certifications and offering competitive pricing and fast turnaround times. Its integrated operations support large-volume orders, making it a leader in the health supplement industry.",1989,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696a0acef70a4d0001cef7ce/picture,,,,,,,,
EnerVenue,EnerVenue,89,environmental services,tbeal@natoli.com,http://www.enervenue.com,http://www.linkedin.com/company/enervenue,,https://twitter.com/EnerVenueInc,46430 Fremont Blvd,Fremont,California,United States,94538-6469,"46430 Fremont Blvd, Fremont, California, United States, 94538-6469","largescale batteries, electric power generation, energy storage technology, fire safety, energy storage project financing, battery safety standards, energy storage, long lifespan, long lifespan batteries, energy storage innovation, energy storage for commercial use, safe energy storage, b2b, environmentally sustainable batteries, energy transition technology, thermal runaway prevention, long-duration energy storage, long-duration storage, scalability, scalable energy systems, manufacturing, energy storage for remote locations, 30,000 cycle batteries, grid reliability, navigational, measuring, electromedical, and control instruments manufacturing, metal-hydrogen battery, metal-hydrogen batteries, deep discharge batteries, energy storage market, modular energy storage, environmentally friendly energy storage, microgrid energy solutions, energy storage for residential use, renewable energy storage, environmentally sustainable energy, deep cycle batteries, industrial energy storage, cost-effective renewable storage, sustainable energy technology, large-scale renewable storage, energy storage vessels, energy storage deployment, long duration energy storage, deep discharge performance, stationary energy storage, scalable grid storage, energy management, environmentally friendly batteries, maintenance-free energy storage, long cycle life, energy storage system design, cost efficiency, high capacity energy storage, extreme environment batteries, cost-effective batteries, environmentally friendly, decarbonization solutions, construction & real estate, energy storage solutions, advanced battery materials, large-scale energy systems, high cycle count, cost savings in energy storage, high-efficiency energy storage, multi-cycle daily use batteries, battery manufacturing, 30-year battery life, energy storage for critical infrastructure, cost per cycle advantage, safety in energy storage, battery technology innovation, deep cycle energy storage, durable batteries, recyclable batteries, utilities, energy project development, renewable integration, microgrid energy storage, energy storage for remote sites, energy storage for microgrids, hydrogen-based battery technology, fire-safe batteries, nasa proven technology, recyclable battery components, energy storage manufacturing, deep cycle performance, ultra-long life batteries, utility-scale batteries, modular energy systems, long-term energy security, operational efficiency, high efficiency energy storage, government, reliable energy storage, renewable energy support, industrial energy resilience, advanced safety batteries, zero maintenance energy storage, advanced battery chemistry, fire suppression free batteries, scalable storage solutions, renewable energy, battery lifecycle management, cost-efficient batteries, energy storage market growth, low opex batteries, maintenance free, cost reduction in storage, grid-scale storage, modular stackable batteries, metal-hydrogen technology, battery solutions, grid-scale energy storage, clean energy revolution, flexible energy storage, durable energy storage, commercial energy storage, residential energy storage, fire safety systems, battery management systems, low operating expenses, battery recycling, capacity assurance, high efficiency batteries, low maintenance energy solutions, smart grid integration, sustainable energy manufacturing, energy rack system, energy venue solutions, energy management systems, gas-free storage solutions, high cycle life batteries, energy storage modules, versatile battery systems, operational flexibility, high density energy storage, renewable energy integration, zero maintenance requirements, environmental impact reduction, rapid deployment energy systems, cost-effective energy solutions, power and energy services, electric utility support, energy demand management, energy asset optimization, emergency backup power, smart energy solutions, advanced energy solutions, energy resilience planning, utility scale energy storage, integration of storage systems, innovative energy storage solutions, distribution, energy & utilities, environmental services, renewables & environment, oil & energy, mechanical or industrial engineering, clean energy & technology",'+1 408-664-0355,"Outlook, Google Cloud Hosting, WP Engine, Greenhouse.io, Salesforce, Google Tag Manager, Mobile Friendly, Gravity Forms, reCAPTCHA, WordPress.org, Google Analytics, Nginx, YouTube, Remote",728296685,Venture (Round not Specified),308150000,6/1/2024,5000000,,690a757d6f52f70001ca2dd4,3621,33451,"EnerVenue, Inc. is an energy storage company based in Fremont, California, founded in 2020. The company specializes in metal-hydrogen batteries, which are designed for stationary, grid-scale clean energy applications. These batteries are known for their safety, longevity, and fast charging capabilities, making them a reliable alternative to lithium-ion systems, especially in extreme environments.

The company utilizes NASA-developed technology to create its EnerStation battery systems and Energy Storage Vessels™, which support various applications, including renewable energy integration and industrial use. EnerVenue has achieved significant milestones, including commercial deployments in 2022 and over 7 GWh in customer commitments. With plans for large-scale production in Kentucky and a focus on providing dependable energy storage solutions, EnerVenue is positioned to play a key role in the energy transition and climate goals.",2020,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6970d2978355110001298a75/picture,,,,,,,,
Zoasis,Zoasis,3,veterinary,tbeal@natoli.com,http://www.zoasis.com,http://www.linkedin.com/company/zoasis,,,1500 Olympic Blvd,Santa Monica,California,United States,90404,"1500 Olympic Blvd, Santa Monica, California, United States, 90404","advertising, marketing, publishing, veterinary services, media",,Route 53,,,,,10000000,,69726e748e65570001f3cad8,,,"In addition to publishing of HealthyPet Magazine, Zoasis also run a number of advertising and marketing programs through it HealthPet division.  These programs are geared at helping animal hospitals communicate with and educate pet owners in a more professional manner.",2000,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,,,,,
Sila Nanotechnologies,Sila Nanotechnologies,400,,tbeal@natoli.com,http://www.silanano.com,http://www.linkedin.com/company/sila-nanotechnologies-inc-,https://www.facebook.com/silananotech/,https://twitter.com/SilaNanotech,2450 Mariner Square Loop,Alameda,California,United States,94501,"2450 Mariner Square Loop, Alameda, California, United States, 94501","batteries & materials science, energy management, energy density, battery cell design, electric vehicle batteries, battery supply chain, battery production, battery efficiency, battery quality control, manufacturing, battery performance enhancement, battery process engineering, battery innovation leadership, battery supply chain resilience, energy efficiency, battery applications, battery supply chain management, energy storage, battery manufacturing process, battery capacity, fast charge, electric vehicles, battery design, battery performance testing, battery innovation, battery cost reduction, regulatory compliance, battery industry partnerships, transportation & logistics, battery material science, battery safety standards, fast charging, u.s. battery supply, battery chemistry, battery supply, battery solutions, battery testing, consumer electronics, services, silicon anode technology, lithium-ion batteries, battery research, battery cycle life, battery patents portfolio, battery market, domestic manufacturing, battery materials, battery performance metrics, nanoengineering, battery safety, battery development, battery performance optimization, silicon anode, battery patents, battery r&d, battery startups, automotive batteries, battery supply agreements, battery scaling, battery market growth, b2b, battery supply chain security, energy & utilities, battery manufacturing, battery performance, battery commercialization, government, battery industry trends, battery technology development, battery technology, consulting, battery industry, energy storage systems, titan silicon, battery engineering services, automotive energy solutions, cell manufacturing, sustainable materials, next-generation materials, enhanced energy storage, nano-composite silicon, reduced carbon footprint, fast charge technology, oem partnerships, custom material solutions, high-volume manufacturing, battery optimization, cycle life, smart device technology, electrification, electric vehicle performance, market proven anodes, automotive quality standards, iso certification, mass scale production, clean energy transition, commercial scale production, product differentiation, supply chain integration, environmental sustainability, advanced battery materials, high capacity anodes, flexible battery solutions, cutting-edge technology, battery market leadership, consumer device enhancement, product launch support, collaborative engineering design, technical partnerships, performance validation testing, patented technology, battery design innovation, manufacturing excellence, next-gen cell technology, b2c, distribution, consumer products & retail, oil & energy, mechanical or industrial engineering, environmental services, renewables & environment, clean energy & technology, consumers, hardware",'+1 408-475-7452,"Rackspace MailGun, Gmail, Outlook, Google Apps, Greenhouse.io, Google Tag Manager, Mobile Friendly, Vimeo, Remote",1525500000,Series G,375000000,6/1/2024,134700000,,69726e748e65570001f3cada,3691,33591,"Sila Nanotechnologies, Inc. is a battery materials company that specializes in advanced silicon-based anodes, particularly its proprietary Titan Silicon™ material. This innovative material enhances the energy density, charging speed, longevity, and overall performance of lithium-ion batteries. Sila's solutions are applicable in various sectors, including electric vehicles, consumer electronics, wearables, and grid storage.

Founded in 2011 as a Georgia Tech startup, Sila is headquartered in Alameda, California, with a primary manufacturing plant in Moses Lake, Washington. The company is committed to sustainable energy solutions, focusing on materials that reduce mining needs and lower CO₂ emissions during production. Sila has raised over $900 million in funding to support its growth and development, including a significant investment to expand its manufacturing capabilities. The company collaborates with leading manufacturers like Mercedes-Benz, Panasonic Energy, and BMW, showcasing the scalability and performance of its technology across multiple industries.",2011,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69689bc4c2931a00018fcaee/picture,,,,,,,,
Physicians Formula,Physicians Formula,60,"health, wellness & fitness",tbeal@natoli.com,http://www.physiciansformula.com,http://www.linkedin.com/company/physicians-formula,http://www.facebook.com/PhysiciansFormula,http://twitter.com/PFCosmetics,1055 West 8th Street,Azusa,California,United States,91702,"1055 West 8th Street, Azusa, California, United States, 91702","cosmetics, personal care product manufacturing, makeup, natural skincare, minimal ingredients, clinical testing, high-performing formulas, hypoallergenic, b2c, organic wear, clean beauty, cruelty-free, d2c, retail, natural ingredients, dermatologist approved, environmentally friendly, cruelty free, science-backed naturals, beauty with wellness, physician coalition, anti-aging cosmetics, personal care, organic ingredients, sensitive skin, e-commerce, minimalist formulations, safe undiscovered ingredients, natural science, high efficacy, safe ingredients, organic skincare, beauty products, eco-friendly packaging, clean formulas, science-backed technology, vegan cosmetics, skin care, sensitive skin solutions, plant-based ingredients, skin wellness, organic, banning harmful chemicals, dermatologist tested, skincare, chemical-free, natural makeup, minimalist beauty, manufacturing, consumer products & retail, beauty, apparel & fashion, health, wellness & fitness, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering",'+1 800-227-0333,"CSC Corporate Domains, Sendgrid, Outlook, Microsoft Office 365, FedEx, Wordpress VIP, Salesforce, Adobe Media Optimizer, Google Analytics, Cedexis Radar, Mobile Friendly, Nginx, Twitter Advertising, Facebook Widget, Google Font API, LiveRamp, DoubleClick, DoubleClick Floodlight, WordPress.org, Facebook Login (Connect), Gravity Forms, Linkshare, Shopify, Criteo, Amazon Associates, Google Dynamic Remarketing, Facebook Custom Audiences, reCAPTCHA, Bing Ads, Stripe, Vimeo, YouTube, The Trade Desk, DoubleClick Conversion, Content.ad, Woo Commerce, Google Tag Manager",,Debt Financing,,4/1/2010,172000,,69726e748e65570001f3cb00,2842,,"Physicians Formula is a prominent American cosmetics brand founded in 1937 by Dr. Frank Crandall, an allergist dedicated to creating beauty solutions for sensitive skin. The brand has a long-standing commitment to high-quality, gentle products and has been part of Markwins Beauty Brands since 2012.

The company focuses on wellness for all skin types, particularly sensitive skin. Physicians Formula collaborates with scientists and physicians to select safe, effective ingredients while maintaining a strict ""No-No list"" of harmful substances. Their product range includes foundations, mascaras, bronzers, blushes, and skincare treatments, all enriched with beneficial ingredients and free from over 150 known irritants. The brand is recognized for its unique packaging and the 'doctor's coat' logo.

Physicians Formula products are hypoallergenic, non-comedogenic, cruelty-free, and physician-approved. They are widely available across North America, Europe, Asia, Australia, and Latin America through various retail channels. The brand appeals to individuals with sensitive skin, those seeking clean beauty options, and consumers who value ethical practices.",1937,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696e9737dec5b300013339e6/picture,,,,,,,,
Smashbox Cosmetics,Smashbox Cosmetics,360,"health, wellness & fitness",tbeal@natoli.com,http://www.smashbox.com,http://www.linkedin.com/company/smashbox-cosmetics,https://facebook.com/SmashboxCosmetics/,https://twitter.com/smashbox,10000 Washington Blvd,Culver City,California,United States,90232,"10000 Washington Blvd, Culver City, California, United States, 90232","personal care product manufacturing, professional makeup artist, camera-ready makeup, long-lasting waterproof mascara, long-lasting makeup for photoshoots, long-lasting makeup for photos, retail, long-lasting foundation, long-lasting concealer, long wear makeup, studio makeup products, long-lasting primer, long wear foundation, high-performance makeup, makeup, long-lasting lip gloss, cruelty-free skincare, long-lasting makeup for videos, photo studio makeup, long wear blush, cruelty-free cosmetics, cruelty-free makeup, photo shoot essentials, beauty and photography, studio-tested makeup, professional makeup studio, long-lasting makeup solutions, long-lasting mascara, innovative beauty solutions, beauty and film industry, sign manufacturing, long-lasting makeup products, cosmetics, makeup for on-camera, b2c, long-lasting setting spray, long wear lipstick, studio-tested cosmetics, long-lasting waterproof eyeliner, long-lasting waterproof primer, innovation, beauty community, studio-grade makeup, long-lasting lip stain, long-lasting highlighter, services, makeup for long shoots, long-lasting eye shadow, film industry makeup, long wear primer, high-quality makeup, beauty products, hollywood heritage cosmetics, face primer, long-lasting waterproof concealer, beauty and entertainment industry, long wear mascara, long-lasting brow gel, long-lasting waterproof eyeshadow, professional makeup line, long-lasting waterproof foundation, beauty industry innovator, photo shoot makeup, d2c, professional photo shoot makeup, lifestyle, long wear concealer, on-camera makeup, e-commerce, los angeles beauty brand, long-lasting powder, innovative beauty products, long-lasting contour, studio-grade cosmetics, cruelty-free foundation, long-lasting waterproof makeup, customer service, long-lasting blush, innovative cosmetics, professional makeup products, photography makeup, long-lasting waterproof lip color, skin care, studio makeup, cosmetic manufacturing, creative beauty brand, professional makeup services, cruelty-free skincare products, inclusive beauty brand, makeup primer, cruelty-free beauty, long-lasting lipstick, online shopping, long-lasting beauty products, long-lasting makeup for events, retail cosmetics, cruelty-free lip gloss, professional makeup tools, cruelty-free, vegan makeup, setting powder, matte finish, blush sticks, waterproof eyeliner, tinted moisturizer, photo finish primer, setting spray, oil control, hydrating foundation, all-day wear, vegan cosmetics, adjustable coverage, luxury makeup, makeup for photography, smudge-proof mascara, customizable makeup, color correctors, eyeshadow palette, patent makeup innovation, vegan lipsticks, makeup brushes, foundation shade finder, multitasking beauty, makeup rewards program, photographic grade cosmetics, easy application, smooth texture, blendable makeup, natural glow, hydrate and refresh, anti-aging foundation, eliminate shine, advanced skincare ingredients, especially designed tools, professional makeup artistry, testing makeup, beauty tools, convenient shopping, easy returns, exclusive offers, deluxe samples, personalized service, b2b, distribution, consumer products & retail, health, wellness & fitness, beauty, apparel & fashion, consumer internet, consumers, internet, information technology & services",'+1 888-763-1361,"Akamai, Microsoft Office 365, Drupal, OneTrust, Afterpay, Figma, Remote",,,,,12879000,,69726e748e65570001f3cb03,2842,33995,"Smashbox Cosmetics is a cruelty-free makeup brand founded in 1996 by brothers Davis and Dean Factor, who are descendants of Hollywood makeup pioneer Max Factor. The brand originated from Smashbox Studios in Los Angeles, a creative space for photographers and artists. Smashbox is known for its high-quality, long-lasting makeup products that are designed and tested in professional environments to ensure a flawless, camera-ready appearance.

The brand's signature product, the Photo Finish Foundation Primer, was launched alongside a range of other cosmetics, including foundations, powders, and lipsticks. Smashbox emphasizes comfort and performance, catering to both everyday users and professionals in the industry. The company has partnered with major retailers like Sephora and Ulta Beauty to reach a fashion-forward audience. Additionally, Smashbox Studios continues to serve as a hub for creative production, collaborating with renowned photographers and artists for various projects.",1990,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6968d228952241000129baad/picture,,,,,,,,
Wilbur-Ellis Company,Wilbur-Ellis Company,2400,chemicals,tbeal@natoli.com,http://www.wilburellis.com,http://www.linkedin.com/company/wilbur-ellis-company,https://www.facebook.com/wilburelliscompany,https://twitter.com/WilburEllisCo,4582 S Ulster St,Denver,Colorado,United States,80237-2263,"4582 S Ulster St, Denver, Colorado, United States, 80237-2263","valueadded services agribusiness plant protection products & animal feed livestock, acquaculture & pet food industries, agricultural chemical manufacturing, distribution, soil health, farm supplies merchant wholesalers, employee benefits, water management, energy & utilities, risk management, family-owned, venture capital, specialty chemicals, sustainability, crop protection, consulting, animal nutrition, service, services, crop yield optimization, innovation, marketplace, water management solutions, b2b, transportation & logistics, e-commerce, agriculture, precision agriculture, distributor, agricultural retail, chemical manufacturing, agronomic services, agronomy, seed solutions, sustainable agriculture, precision farming, crop nutrition, animal feed, agribusiness, liquid fertilizers, online ordering platform, resistance management, pet food ingredients, nutrient solutions, environmental stewardship, corporate social responsibility, talent development, diversity and inclusion, agverdict, innovation awards, carbon footprint, food supply chain, sustainable pet food, liquid chemical manufacturing, agriculture technology, commercial farming solutions, feed nutrition, aquaculture products, fertilization technology, agricultural expertise, r&d in agriculture, integrity in farming, sustainable livestock, agronomy services, organic farming solutions, farming partnerships, food security, crop management, agrochemical products, regenerative agriculture, investment in technology, agriculture sustainability, efficient resource use, business growth, environmental compliance, global food systems, north american agriculture, manufacturing, chemicals, environmental services, renewables & environment, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering",'+1 415-772-4000,"Fastly CDN, Cloudflare DNS, Outlook, Microsoft Office 365, Pantheon, OneTrust, Barracuda Networks, Workday, Facebook Custom Audiences, Workday Recruit, Twitter Advertising, Linkedin Marketing Solutions, Google Maps, New Relic, Facebook Widget, Nginx, Dropbox, Bootstrap Framework, reCAPTCHA, Google Plus, Facebook Login (Connect), Mobile Friendly, Multilingual, WordPress.org, UltiPro, Google Tag Manager, Varnish, Google Font API, Vimeo, Remote, AI",550000000,Debt Financing,550000000,7/1/2025,3500000000,,69726e748e65570001f3cb06,"2810, 8734, 2870",42491,"Wilbur-Ellis Company is a family-owned international marketer and distributor, founded in 1921 in San Francisco, California. With approximately $3 billion in annual sales and over 2,400 employees, the company operates in the U.S., Canada, and 15 countries across Asia, Australia, and New Zealand. It has evolved from its origins in fishmeal and fish oil to become a leader in agribusiness.

The company operates through three main divisions: Wilbur-Ellis Agribusiness, Connell Brothers, and its Feed Division. Wilbur-Ellis Agribusiness focuses on crop protection, nutrition, seed development, and agronomic solutions, addressing sustainability and profitability in North American agriculture. Connell Brothers specializes in specialty chemicals and ingredients, while the Feed Division distributes animal feed and related commodities. Additionally, Nachurs Alpine Solutions manufactures specialty liquid chemicals for various sectors.

Guided by its core values of Integrity, Diversity, Effort, Accountability, and Service, Wilbur-Ellis emphasizes strong relationships and innovation to enhance customer returns in agriculture and food systems.",1921,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696e2cfde188da000138a358/picture,,,,,,,,
Wellness RX Pharmacy,Wellness RX Pharmacy,,,tbeal@natoli.com,http://www.wellnessrxpharmacy.com,,,,,,,,,,,,,,,,,,,697274140674f100016f2965,,,,,,,,,,,,,
