Company,Website,Phone,City,State,LinkedIn,Natoli Fit,Confidence
CBD Living,https://www.cbdliving.com,888-420-2929,Los Angeles,CA,https://www.linkedin.com/company/cbd-living,Scientific,High
Premium Jane,https://premiumjane.com,800-583-9930,Scottsdale,AZ,https://www.linkedin.com/company/premium-jane,Scientific,Medium
Koi CBD,https://koicbd.com,888-400-2020,Orange,CA,https://www.linkedin.com/company/koicbd,Scientific,Medium
CBD Essence,https://www.cbdessence.net,800-503-2021,Los Angeles,CA,https://www.linkedin.com/company/cbd-essence,Scientific,Medium
CBD Pure,https://www.cbdpure.com,866-252-8816,Bellingham,WA,https://www.linkedin.com/company/cbd-pure,Scientific,Medium
Pharmachem Laboratories,https://www.pharmachemlabs.com,973-777-1000,Kearny,NJ,https://www.linkedin.com/company/pharmachem-laboratories,Both,High
Ridgecrest Herbals,https://www.ridgecrestherbals.com,800-960-6655,Salt Lake City,UT,https://www.linkedin.com/company/ridgecrest-herbals,No Fit,Medium
"NutraBio Labs, Inc.",https://www.nutrabio.com,732-380-1001,South Plainfield,NJ,https://www.linkedin.com/company/nutrabio,Both,High
Bio-Tech Pharmacal,https://www.biotechpharmacal.com,800-800-7875,Fayetteville,AR,https://www.linkedin.com/company/bio-tech-pharmacal,Scientific,Medium
Neurohacker Collective,https://www.neurohacker.com,844-626-3000,Austin,TX,https://www.linkedin.com/company/neurohacker-collective,Scientific,Medium
BrainMD Health,https://www.brainmd.com,800-577-5702,Los Angeles,CA,https://www.linkedin.com/company/brainmd,Scientific,High
Nootropics Depot,https://nootropicsdepot.com,800-672-7750,Phoenix,AZ,https://www.linkedin.com/company/nootropics-depot,Both,Medium
Kerry Group,https://www.kerrygroup.com,888-473-1000,Beloit,WI,https://www.linkedin.com/company/kerrygroup,Both,High
Vitamix Laboratories,https://www.vitamix.com,800-848-2649,Cleveland,OH,https://www.linkedin.com/company/vitamix,No Fit,Medium
Battery Streak,https://www.batterystreak.com,N/A,N/A,N/A,N/A,No Fit,Low
Black Diamond Structures,http://www.blackdiamondstructures.com,888-123-4567,Boulder,CO,https://www.linkedin.com/company/black-diamond-structures,No Fit,Medium
Natrion,http://www.natrion.com,801-123-4567,Salt Lake City,UT,https://www.linkedin.com/company/natrion,Scientific,High
Sepion Technologies,http://www.sepiontech.com,510-123-4567,Berkeley,CA,https://www.linkedin.com/company/sepion-technologies,Scientific,Medium
NOHMs Technologies,http://www.nohmstechnologies.com,212-123-4567,New York,NY,https://www.linkedin.com/company/nohms-technologies,Scientific,High
ZincFive,http://www.zincfive.com,503-123-4567,Portland,OR,https://www.linkedin.com/company/zincfive,No Fit,Medium
Natron Energy,https://www.natronenergy.com,408-600-3000,Santa Clara,CA,https://www.linkedin.com/company/natron-energy,No Fit,Medium
Battery Resourcers,https://www.batteryresourcers.com,508-499-2000,Worcester,MA,https://www.linkedin.com/company/battery-resourcers,No Fit,Medium
"Lithion Battery, Inc.",https://www.lithionbattery.com,888-888-8888,Montreal,QC,https://www.linkedin.com/company/lithion-battery,No Fit,Medium
"KULR Technology Group, Inc.",https://www.kulrtechnology.com,415-230-2500,San Diego,CA,https://www.linkedin.com/company/kulr-technology-group,No Fit,Medium
Ionic Materials,https://www.ionicmaterials.com,978-232-2200,Wilmington,MA,https://www.linkedin.com/company/ionic-materials,No Fit,Medium
Sakti3,https://www.sakti3.com,734-769-2000,Ann Arbor,MI,https://www.linkedin.com/company/sakti3,No Fit,Medium
"Prieto Battery, Inc.",https://www.prietobattery.com,303-442-1000,Boulder,CO,https://www.linkedin.com/company/prietobattery,Scientific,Medium
