company,city,state,phone,website,linkedin,division,territory,region,salesRep,industry,confidence,reason,aiDecision,aiCompression,aiDivision,aiConfidence,pressureSignals,competitors,aiSummary,gmpLikely,fdaLikely
21st Century HealthCare,Tempe,AZ,,https://21stcenturyvitamins.com,https://linkedin.com/company/21st-century-healthcare,Both,Rocky Mountain,Domestic,Eric Maughan,vitamin tablet manufacturing,100,Produces a wide range of dietary supplements including vitamin tablets,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"There is a medium opportunity for improving tablet compression in vitamin tablet manufacturing at 21st Century HealthCare, Inc.",,
24M Technologies,Cambridge,MA,,https://24-m.com,https://linkedin.com/company/24m,Both,Northeast,Domestic,Raffaele Romano,battery cathode manufacturing,100,"Produces next-gen batteries using semi-solid technology, needing formulation and press solutions",EDUCATE,none,None,70,,Fette; Korsch,There is an opportunity to educate 24M Technologies on tablet compression solutions for their semi-solid battery manufacturing process.,,
3M Advanced Materials Division,Maplewood,MN,,https://www.3m.com,https://linkedin.com/company/3m,Both,Central,Domestic,David Nelson,advanced ceramics manufacturing,100,Produces a variety of ceramic and advanced material solutions,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in advanced ceramics manufacturing.,,
4Front Ventures,Phoenix,AZ,,https://4frontventures.com,https://linkedin.com/company/4front-ventures,Both,Rocky Mountain,Domestic,Eric Maughan,cannabis tablet manufacturing,100,Involved in the manufacturing of cannabis tablets,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,4Front Ventures has a medium opportunity for improving tablet compression in cannabis tablet manufacturing.,,
ABH Pharma,Edgewood,NY,,https://www.abhpharma.com,https://linkedin.com/company/abh-pharma,Both,Northeast,Domestic,Raffaele Romano,nutraceutical tablet manufacturing,100,Contract manufacturer with expertise in tablet production and formulation,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"ABH Pharma, Inc. presents a medium opportunity for tablet compression improvements in their nutraceutical manufacturing process.",,
AMPAC Fine Chemicals,Rancho Cordova,CA,,https://ampacfinechemicals.com,https://linkedin.com/company/ampacfinechemicals,Both,West Coast,Domestic,Fernando Delgado,piezoelectric ceramics,100,Engages in advanced manufacturing including piezoelectric ceramics,MONITOR,medium,Engineering,75,low pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in the advanced manufacturing of piezoelectric ceramics at AMPAC Fine Chemicals.,,
ARL Bio Pharma,Oklahoma City,OK,,https://arlok.com,https://linkedin.com/company/arl-biopharma,Both,Central,Domestic,David Nelson,recycled materials testing lab,100,Provides pharmaceutical testing and formulation services,EDUCATE,medium,Both,75,low pressure signals; medium pressure signals,Fette; Korsch,ARL Bio Pharma presents a medium opportunity for tablet compression improvements through recycled materials testing.,,
ASP Cares,San Antonio,TX,,https://aspcares.com,https://linkedin.com/company/asp-cares,Both,Central,Domestic,David Nelson,503b outsourcing facility,100,Offers pharmacy services including 503B outsourcing and compounding,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the context of 503B outsourcing and compounding services.,,
Acorda Therapeutics,Ardsley,NY,,https://acorda.com,https://linkedin.com/company/acorda-therapeutics,Both,Northeast,Domestic,Raffaele Romano,pharmaceutical continuous manufacturing,100,Biotechnology company with focus on manufacturing and R&D,ENGAGE,medium,Both,80,low pressure; high pressure,Fette; Korsch,Acorda Therapeutics presents a medium opportunity for tablet compression improvements in their continuous manufacturing process.,,
Acreage Holdings,New York,NY,,https://acreageholdings.com,https://linkedin.com/company/acreageholdings,Both,Northeast,Domestic,Raffaele Romano,cannabis tablet manufacturing,100,Produces cannabis tablets and develops formulations,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Acreage Holdings has a medium opportunity for improving tablet compression in cannabis tablet manufacturing.,,
Actavis Pharma,Parsippany,NJ,,https://allergan.com,https://linkedin.com/company/allergan,Both,Northeast,Domestic,Raffaele Romano,sleep aid tablet manufacturing,100,Manufactures a wide range of generic pharmaceuticals,MONITOR,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in sleep aid tablet manufacturing at Actavis Pharma.,,
Advanced Nutrients,Los Angeles,CA,,https://advancednutrients.com,https://linkedin.com/company/advanced-nutrients-ltd,Both,West Coast,Domestic,Fernando Delgado,agricultural fertilizer tablets,100,"Produces a wide range of plant nutrients, potentially involving tablet formulations.",ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in agricultural fertilizer tablets with potential risks that need to be managed.,,
Advanced Orthomolecular Research (AOR),Boise,ID,,https://aor.ca,https://linkedin.com/company/advanced-orthomolecular-research,Both,Rocky Mountain,Domestic,Eric Maughan,herbal supplement tablets,100,Research-driven producer of herbal and nutritional supplements,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"AOR has a medium opportunity for tablet compression improvements, particularly in managing pressure to avoid common risks.",,
Advanced Refining Technologies,Baton Rouge,LA,,https://artcatalysts.com,https://linkedin.com/company/art-catalysts,Both,Central,Domestic,David Nelson,catalyst pellet manufacturing,100,Joint venture focusing on hydroprocessing catalysts,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in catalyst pellet manufacturing for hydroprocessing catalysts.,,
Agrium U.S.,Loveland,CO,,https://agrium.com,https://linkedin.com/company/agrium,Both,Rocky Mountain,Domestic,Eric Maughan,fertilizer tablet manufacturing,100,"Part of Nutrien, involved in crop nutrients and formulation",MONITOR,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in fertilizer manufacturing with associated risks that need monitoring.,,
AgroThrive,Gonzales,CA,,https://agrothrive.com,https://linkedin.com/company/agrothrive,Both,West Coast,Domestic,Fernando Delgado,agricultural fertilizer tablets,100,Produces organic fertilizers that could use tableting technology.,ENGAGE,medium,Both,80,low pressure; medium pressure,Fette; Korsch,"AgroThrive, Inc. has a medium opportunity for tablet compression in their organic fertilizer tablets, with potential risks that need to be addressed.",,
Ajinomoto Bio-Pharma Services,San Diego,CA,,https://ajibio-pharma.com,https://linkedin.com/company/ajibio-pharma,Both,West Coast,Domestic,Fernando Delgado,drug formulation r&d,100,Offers wide range of contract manufacturing services including oral solid dosage forms,ENGAGE,medium,Both,80,inconsistent tablet weight; high tablet breakage rates,Fette; Korsch,Ajinomoto Bio-Pharma Services presents a medium opportunity for tablet compression improvements in their oral solid dosage forms.,,
Akorn,Lake Forest,IL,,https://akorn.com,https://linkedin.com/company/akorn-inc,Both,Central,Domestic,David Nelson,otc tablet manufacturing,100,Produces a variety of pharmaceuticals including tablets,MONITOR,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"Akorn, Inc. presents a medium opportunity for tablet compression improvements with potential risks in quality consistency.",,
Aloecorp,Lacey,WA,,https://www.aloecorp.com,https://linkedin.com/company/aloecorp,Both,West Coast,Domestic,Fernando Delgado,beauty supplement tablets,100,Produces aloe vera products used in beauty supplements,MONITOR,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"Aloecorp, Inc. has medium compression opportunities in tablet production for beauty supplements.",,
American Health,Ronkonkoma,NY,,https://americanhealthus.com,https://linkedin.com/company/american-health-inc.,Both,Northeast,Domestic,Raffaele Romano,vitamin tablet manufacturing,100,Produces vitamins and nutritional supplements,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,"There is a medium opportunity for improving tablet compression in vitamin manufacturing at American Health, Inc.",,
Ameripolish,Fayetteville,AR,,https://ameripolish.com,https://linkedin.com/company/ameripolish,Both,Central,Domestic,David Nelson,concrete cleaner tablets,100,Provides concrete polishing products and cleaners,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified for Ameripolish concrete cleaner tablets.,,
Amprius Technologies,Fremont,CA,,https://amprius.com,https://linkedin.com/company/amprius-inc,Both,West Coast,Domestic,Fernando Delgado,battery cathode manufacturing,100,Manufactures advanced batteries which may require high-precision tooling,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in battery cathode manufacturing.,,
Amri Global,Albany,NY,,https://amriglobal.com,https://linkedin.com/company/amri,Both,Northeast,Domestic,Raffaele Romano,pharmaceutical formulation development,100,Provides comprehensive drug development and manufacturing services,ENGAGE,medium,Both,80,high pressure signals; medium pressure signals,Fette; Korsch,Amri Global presents a medium opportunity for tablet compression improvements in pharmaceutical formulation development.,,
Ananda Hemp,Cynthiana,KY,,https://anandahemp.com,https://linkedin.com/company/ananda-hemp,Both,Southeast,Domestic,Danny Ambrose,cbd tablet manufacturing,100,Offers a variety of hemp-derived CBD products including capsules and tablets.,ENGAGE,medium,Both,80,low pressure; medium pressure,Fette; Korsch,Ananda Hemp has a medium opportunity for improving tablet compression in their CBD tablet manufacturing process.,,
Anastasia Beverly Hills,Los Angeles,CA,,https://www.anastasiabeverlyhills.com,https://linkedin.com/company/anastasia-beverly-hills,Both,West Coast,Domestic,Fernando Delgado,cosmetics pressed powder,100,Produces high-end cosmetics including pressed powders,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the cosmetics pressed powder sector.,,
Animal Essentials,Missoula,MT,,https://animalessentials.com,https://linkedin.com/company/animal-essentials,Both,Rocky Mountain,Domestic,Eric Maughan,pet vitamin supplements,100,"Produces natural pet supplements, requiring formulation and tablet production",ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,"There is a medium opportunity for tablet compression in the production of natural pet supplements, with manageable risks and competitive landscape.",,
