Company,Product Type,Retail Presence,Manufacturing Model,Division,Natoli Fit,Fit Reason,Confidence,Next Steps
"Global Nuclear Fuel - Americas, LLC",Nuclear fuel pellets,None,In-house,Engineering,Weak,"Focus on nuclear fuel production, limited overlap with tablet compression.",High,Low priority
Framatome Inc.,Nuclear fuel components,None,In-house,Engineering,Weak,Focus on nuclear energy rather than tablet compression.,High,Low priority
"BWX Technologies, Inc.","Nuclear fuel pellets, battery components",None,In-house,Engineering,Weak,"Focus on nuclear and energy sectors, limited overlap with tablet compression.",High,Low priority
Areva Inc.,"Tablets, pellets, compacts",None,In-house,Both,Strong,Areva's offerings align well with Natoli's tablet press and tooling products.,High,Research and outreach
"Nuclear Fuel Services, Inc.",Nuclear fuel pellets,None,In-house,Engineering,Weak,Focus on nuclear applications limits broader tablet compression market.,High,Low priority
Energy Harbor Corp.,Energy products,None,Unknown,NoFit,Weak,"Focus on energy sector, not tablet compression.",High,Low priority
Terrestrial Energy USA,Nuclear fuel pellets,None,Unknown,Engineering,Weak,Focus on nuclear energy rather than tablet compression.,High,Low priority
X-energy,"Tablets, pellets, compacts",None,Hybrid,Engineering|Scientific,Strong,X-energy's focus on powder compression aligns with Natoli's offerings.,High,Research and outreach
Southern Company,Energy solutions,None,In-house,NoFit,Weak,Focus on energy rather than tablet compression.,Medium,Low priority
Dominion Energy,Energy-related materials,None,Unknown,NoFit,Weak,"Focus on energy, not tablet compression.",High,Low priority
Pacific Gas and Electric Company,None,None,Unknown,NoFit,NoFit,"PG&E operates in energy, not tablet compression.",High,Low priority
Public Service Enterprise Group (PSEG),None,None,Unknown,NoFit,NoFit,"PSEG focuses on energy and utilities, not tablet compression.",High,Low priority
W.R. Grace & Co,Powders for various applications,None,Hybrid,Both,Strong,W.R. Grace's diverse applications align with Natoli's tablet compression services.,High,Research and outreach
UOP LLC (Honeywell),"Tablets, pellets, compacts",None,Hybrid,Engineering|Scientific,Strong,UOP's technologies align with Natoli's tablet compression needs.,High,Research and outreach
INEOS Olefins & Polymers USA,Polymers and olefins,None,In-house,Engineering,Weak,Focus on chemical production rather than tablet compression.,High,Low priority
Chevron Phillips Chemical Company,Polymers and chemicals,None,In-house,Engineering,Weak,Focus on chemical production rather than tablet compression.,High,Low priority
LyondellBasell Industries,Plastics and polymers,None,In-house,Engineering,Weak,"Focus on plastics, not tablet compression.",High,Low priority
Flint Hills Resources,Various powders for tablets and pellets,None,In-house,Engineering,Medium,Potential for collaboration in powder compression technology.,High,Research and outreach
American Elements,"Powders into tablets, pellets, or compacts",None,Hybrid,Engineering|Scientific,Strong,Complementary products and services for tablet manufacturing,High,Research and outreach
Dow Chemical Company,Chemicals and materials for various applications,None,In-house,Both,Medium,Potential for collaboration in tablet formulation and material development.,High,Research and outreach
Shell Catalysts & Technologies,Catalysts and related materials,None,In-house,Engineering,Medium,Potential need for tablet compression in catalyst production.,High,Research and outreach
Plug Power Inc.,Hydrogen fuel cells,None,In-house,Engineering,Weak,"Focus on fuel cells, not tablet compression.",High,Low priority
Proton OnSite,Hydrogen generation systems,None,In-house,Engineering,Weak,"Focus on hydrogen technology, limited overlap with tablet compression.",High,Low priority
Hexagon Lincoln,Hydrogen tanks,None,In-house,Engineering,Weak,"Focus on gas storage, not tablet compression.",High,Low priority
Giner ELX,Hydrogen fuel cells and related technologies,None,In-house,Engineering|Scientific,Medium,Potential for collaboration in R&D for tablet formulations and compression technologies.,High,Research and outreach
McPhy Energy,Hydrogen storage and production solutions,None,Unknown,Engineering,Weak,Focus on energy solutions rather than tablet compression.,High,Low priority
Hydrogenics USA,Hydrogen fuel cells and related technologies,None,In-house,Engineering,Weak,Focus on hydrogen technology rather than tablet compression.,High,Low priority
Nel Hydrogen,Hydrogen pellets,None,Unknown,Engineering,Weak,"Focus on hydrogen solutions, limited overlap with tablet compression.",High,Low priority
"Praxair, Inc.",Gases for compression processes,None,In-house,Engineering,Medium,Praxair provides gases essential for tablet compression processes.,High,Research and outreach
StratosFuel,Powders for tablets and pellets,None,In-house,Both,Strong,StratosFuel's focus on powder compression aligns with Natoli's offerings.,High,Research and outreach
Hyon USA,Powders for tablets and pellets,None,CDMO,Both,Strong,Hyon's focus on powder compression aligns with Natoli's offerings.,High,Research and outreach
PowerCell Sweden AB,Hydrogen fuel cells,None,In-house,Engineering,Medium,Potential for collaboration in tablet press technology for battery components.,High,Research and outreach
Linde Engineering North America,Gases and engineering solutions for compression,None,In-house,Engineering,Medium,Provides engineering solutions relevant to tablet compression processes.,High,Research and outreach
