Company,City,State,Phone,Website,LinkedIn,Natoli Fit,Territory,Sales Rep,Industry,Confidence,Reason,503A,503B,GMP Likely,FDA Likely,Industry Match,AI Decision,AI Compression,AI Division,AI Confidence,Pressure Signals,Competitors,AI Summary
BIOLANDES,Los Angeles,CA,-6481,https://biolandes.com,,Scientific,West Coast,Fernando Delgado,pharmaceutical tablet manufacturing,85,"Specializes in botanical extract manufacturing, relevant for formulation",,,,,Yes,MONITOR,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"BIOLANDES has a medium opportunity for tablet compression improvements, particularly in managing pressure to avoid risks."
"NBTY, Inc.",Ronkonkoma,NY,-10697,https://www.nbty.com,https://linkedin.com/company/nbty,Both,Northeast,Raffaele Romano,nutraceutical tablet manufacturing,100,"Specializes in vitamin and supplement manufacturing, requiring tablet presses and formulations",,,,,Yes,ENGAGE,medium,Both,85,low pressure; optimal pressure; high pressure,Fette; Korsch,"NBTY, Inc. presents a medium opportunity for tablet compression improvements in their nutraceutical manufacturing process."
Nature's Bounty,Ronkonkoma,NY,-4222,https://www.naturesbounty.com,,Engineering,Northeast,Raffaele Romano,nutraceutical tablet manufacturing,85,Produces a wide range of supplements requiring advanced tablet pressing technology,,,,,Yes,ENGAGE,high,Both,85,high pressure signals; medium pressure signals,Fette; Korsch,There is a significant opportunity to enhance tablet compression technology for Nature's Bounty's diverse supplement range.
NOW Foods,Bloomingdale,IL,-5219,https://www.nowfoods.com,https://linkedin.com/company/now-foods,Both,Central,David Nelson,nutraceutical tablet manufacturing,100,"Produces supplements and natural products, requiring tablet presses and formulation expertise",,,,,Yes,ENGAGE,high,Both,85,high pressure; medium pressure; low pressure,Fette; Korsch,NOW Foods has a significant opportunity to enhance tablet compression processes to improve product quality and efficiency.
NutraScience Labs,Farmingdale,NY,-8734,https://www.nutrasciencelabs.com,https://linkedin.com/company/nutrascience-labs,Both,Northeast,Raffaele Romano,nutraceutical tablet manufacturing,100,Specializes in manufacturing and formulation of dietary supplements,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,NutraScience Labs has a medium opportunity for tablet compression improvements in their nutraceutical manufacturing process.
"Rexall Sundown, Inc.",Boca Raton,FL,-10731,https://www.rexall.com,,Engineering,Southeast,Danny Ambrose,nutraceutical tablet manufacturing,85,Large-scale manufacturer of vitamins and supplements needing tablet presses,,,,,Yes,ENGAGE,high,Both,85,high pressure signals detected during compression trials,Fette; Korsch,"Rexall Sundown, Inc. presents a high compression opportunity for tablet presses in the nutraceutical sector."
Pharmachem Laboratories,Kearny,NJ,-1934,https://www.pharmachemlabs.com,https://linkedin.com/company/pharmachem-laboratories,Both,Northeast,Raffaele Romano,nutraceutical tablet manufacturing,100,Offers custom manufacturing and formulation services for nutraceuticals,,,,,Yes,ENGAGE,medium,Both,80,low pressure; high pressure,Fette; Korsch,Pharmachem Laboratories has a medium opportunity for tablet compression improvements in their nutraceutical manufacturing process.
"ABH Pharma, Inc.",Edgewood,NY,-5720,https://www.abhpharma.com,https://linkedin.com/company/abh-pharma,Both,Northeast,Raffaele Romano,nutraceutical tablet manufacturing,100,Contract manufacturer with expertise in tablet production and formulation,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"ABH Pharma, Inc. presents a medium opportunity for tablet compression improvements in their nutraceutical manufacturing process."
Universal Nutrition,New Brunswick,NJ,-4406,https://www.universalnutrition.com,https://linkedin.com/company/universal-nutrition,Engineering,Northeast,Raffaele Romano,nutraceutical tablet manufacturing,90,Produces a wide range of sports supplements requiring tablet pressing technology,,,,,Yes,ENGAGE,high,Both,85,high pressure; medium pressure; low pressure,Fette; Korsch,There is a significant opportunity for Universal Nutrition to enhance tablet compression processes for their sports supplements.
Procter & Gamble,Cincinnati,OH,-2595,https://us.pg.com,https://linkedin.com/company/procterandgamble,Both,Central,David Nelson,otc tablet manufacturing,100,Produces a range of OTC health products requiring tablet manufacturing,,,,,,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,Procter & Gamble has a medium opportunity for optimizing tablet compression in their OTC health product manufacturing.
"Akorn, Inc.",Lake Forest,IL,-7225,https://akorn.com,https://linkedin.com/company/akorn-inc,Both,Central,David Nelson,otc tablet manufacturing,100,Produces a variety of pharmaceuticals including tablets,,,,,,MONITOR,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"Akorn, Inc. presents a medium opportunity for tablet compression improvements with potential risks in quality consistency."
"Aurobindo Pharma USA, Inc.",East Windsor,NJ,-4591,https://aurobindo.com,https://linkedin.com/company/aurobindo-pharma-usa-inc,Both,Northeast,Raffaele Romano,otc tablet manufacturing,100,Produces a wide range of pharmaceutical products including tablets,,,,,,MONITOR,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,"Aurobindo Pharma USA, Inc. has medium compression opportunities in OTC tablet manufacturing with associated risks that require monitoring."
Piramal Pharma Solutions,Lexington,KY,-8394,https://piramalpharmasolutions.com,https://linkedin.com/company/piramal-pharma-solutions,Both,Southeast,Danny Ambrose,cdmo tablet manufacturing,100,Offers end-to-end solutions for tablet manufacturing,,,,,,ENGAGE,medium,Both,80,high pressure; medium pressure,Fette; Korsch,Piramal Pharma Solutions presents a medium opportunity for tablet compression improvements with potential risks that need to be managed.
Recro Gainesville,Gainesville,GA,-7400,https://recrogainesville.com,https://linkedin.com/company/recro-gainesville,Engineering,Southeast,Danny Ambrose,cdmo tablet manufacturing,90,Specializes in oral solid dosage pharmaceutical manufacturing,,,,,,ENGAGE,high,Both,85,high pressure; medium pressure; low pressure,Fette; Korsch,Recro Gainesville presents a high opportunity for tablet compression improvements in oral solid dosage manufacturing.
Metrics Contract Services,Greenville,NC,-4803,https://metricscontractservices.com,https://linkedin.com/company/metrics-contract-services,Both,Southeast,Danny Ambrose,cdmo tablet manufacturing,100,Specializes in the development and manufacturing of tablets,,,,,,ENGAGE,high,Both,85,high pressure; medium pressure; low pressure,Fette; Korsch,Metrics Contract Services presents a strong opportunity for high compression tablet manufacturing with manageable risks.
DPT Laboratories,San Antonio,TX,-8785,https://dptlabs.com,https://linkedin.com/company/dpt-laboratories,Both,Central,David Nelson,cdmo tablet manufacturing,100,CDMO specializing in semi-solid and solid dosage forms,,,,,,MONITOR,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,DPT Laboratories presents a medium opportunity for tablet compression improvements with potential risks that need monitoring.
Kindeva Drug Delivery,Woodbury,MN,-2493,https://kindevadd.com,https://linkedin.com/company/kindeva-drug-delivery,Both,Central,David Nelson,cdmo tablet manufacturing,100,Specializes in drug delivery technologies including tablets,,,,,,ENGAGE,medium,Both,80,low pressure; high pressure,Fette; Korsch,Kindeva Drug Delivery presents a medium opportunity for tablet compression improvements in drug delivery technologies.
Ceva Animal Health,Lenexa,KS,-2036,https://www.ceva.us,https://linkedin.com/company/ceva-sante-animale,Both,Central,David Nelson,veterinary tablet manufacturing,100,Supplies veterinary tablets and other dosage forms,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Ceva Animal Health has a medium opportunity for improving tablet compression processes in veterinary tablet manufacturing.
