Company,Industry,Tier,Division,Fit,Territory,City,State,Country,Contacts,Tier1 Reason
Los Alamos National Laboratory,Nuclear Fuel,Tier 1,Natoli Engineering,Tooling,Rocky Mountain,Los Alamos,New Mexico,United States,146,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
Idaho National Laboratory,Nuclear Fuel,Tier 1,Natoli Engineering,Tooling,Rocky Mountain,Idaho Falls,Idaho,United States,85,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
NEOS THERAPEUTICS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Denver,Colorado,United States,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
NUTRACEUTICAL CORPORATION,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Ogden,Utah,United States,12,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Solid Power Inc.,Battery & Energy,Tier 1,Natoli Engineering,Tooling,Rocky Mountain,Louisville,Colorado,United States,11,Battery electrode manufacturer with cathode/anode compaction for cell production.
"NATIONAL VITAMIN CO., INC.",Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Casa Grande,Arizona,United States,11,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
ALL CARE PHARMACY DBA AVRIO PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Scottsdale,Arizona,United States,10,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ELITE One Source Nutritional Services,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Missoula,Montana,United States,9,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"AMPHARMCO, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Fort Worth,Texas,United States,9,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
CENTAUR NUTRACEUTICALS,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Denver,Colorado,United States,8,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
GVB,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Las Vegas,Nevada,United States,8,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Charlotte's Web,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Broomfield,Colorado,United States,8,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
CoorsTek Inc.,Advanced Ceramics,Tier 1,Natoli Engineering,Tooling,Rocky Mountain,Golden,Colorado,United States,7,Advanced ceramics producer with powder compaction for technical ceramic parts.
"TUNGSTEN PARTS WYOMING, INC.",Powder Metallurgy,Tier 1,Natoli Engineering,Tooling,Rocky Mountain,Laramie,Wyoming,United States,7,PM parts producer with metal powder compaction for precision components.
Sweet Candy Company,Confectionery,Tier 1,Natoli Engineering,Tooling,Rocky Mountain,Salt Lake City,Utah,United States,7,Candy/mint manufacturer with high-volume tablet pressing operations.
"BARNES BULLETS, INC.",Defense & Energetics,Tier 1,Natoli Engineering,Tooling,Rocky Mountain,Mona,Utah,United States,6,Defense/energetics manufacturer with propellant or explosive pressing operations.
INW: Innovations in Nutrition and Wellness,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Farmington,Utah,United States,6,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"MARLYN NUTRACEUTICALS, INC.",Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Phoenix,Arizona,United States,6,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"MEDICALLY CORRECT, LLC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Denver,Colorado,United States,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
USANA HEALTH SCIENCES,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,West Valley City,Utah,United States,6,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
JRS Pharma GmbH & Co. KG,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Rosenberg,Texas,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
STRUKMYER PHARMA,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Mesquite,Texas,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"BEST LIFE PHARMANATURALS, LLC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Tempe,Arizona,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
CSB NUTRITION CORPORATION,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Spanish Fork,Utah,United States,4,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
MEDIVATION INC.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Golden,Colorado,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
FUSION FORMULATIONS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Tempe,Arizona,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
MEDPHARM IOWA,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Denver,Colorado,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
SUNFLOWER WELLNESS,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Hudson,Colorado,United States,3,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
VOX NUTRITION INC.,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,West Jordan,Utah,United States,3,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"MEDS FOR VETS, LLC",Veterinary Pharma,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Sandy,Utah,United States,3,Veterinary pharmaceutical manufacturer with animal health tablet production.
Belmar Pharma Solutions,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Denver,Colorado,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
American Battery Factory Inc.,Battery & Energy,Tier 1,Natoli Engineering,Tooling,Rocky Mountain,American Fork,Utah,United States,2,Battery electrode manufacturer with cathode/anode compaction for cell production.
"ARRAY BIOPHARMA, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Boulder,Colorado,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
College Pharmacy Inc. -Custom Compounding,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Colorado Springs,Colorado,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
FINE LIVING PHARMANATURALS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Tempe,Arizona,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"NRS (Nutraceutical Research Sciences, LLC)",Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Tempe,Arizona,United States,2,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
PARTELL PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Las Vegas,Nevada,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
REBALANCE HEALTH,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Boulder,Colorado,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ROADRUNNER PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,,Arizona,,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
All American Pharmaceutical,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Billings,Montana,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Animal Health Options,Veterinary Pharma,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Golden,Colorado,United States,2,Veterinary pharmaceutical manufacturer with animal health tablet production.
HERBALLY YOURS INC.,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Gilbert,Arizona,United States,2,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
JW NUTRITIONAL,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Allen,Texas,United States,2,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Merck Animal Health Aqua North America,Veterinary Pharma,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Boise,Idaho,United States,2,Veterinary pharmaceutical manufacturer with animal health tablet production.
"PHARM D SOLUTIONS, LLC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Houston,Texas,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"Salarius Pharmaceuticals, Inc",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Houston,Texas,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
TEXAS STAR PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Plano,Texas,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Valescent Pharmaceuticals Inc.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Denver,Colorado,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
WHOLE HEALTH PHARMACY DBA CLEARSPRING PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Denver,Colorado,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Adept Group (Adept Packaging),Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Boulder,Colorado,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
WB BLENDS & Western Botanicals,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Park City,Utah,United States,2,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
NSP,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Santaquin,Utah,United States,2,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Thrive Freeze Dry,Confectionery,Tier 1,Natoli Engineering,Tooling,Rocky Mountain,Pleasant Grove,Utah,United States,2,Candy/mint manufacturer with high-volume tablet pressing operations.
AMMO INCORPORATED®,Defense & Energetics,Tier 1,Natoli Engineering,Tooling,Rocky Mountain,Scottsdale,Arizona,United States,1,Defense/energetics manufacturer with propellant or explosive pressing operations.
CCI & Speer Ammunition,Defense & Energetics,Tier 1,Natoli Engineering,Tooling,Rocky Mountain,Lewiston,Idaho,United States,1,Defense/energetics manufacturer with propellant or explosive pressing operations.
ETHA® Natural Botanicals,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Reno,Nevada,United States,1,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Evolve Contract Manufacturing,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Lindon,Utah,United States,1,Contract development and manufacturing organization serving pharma clients with tablet production.
MONUMENT PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Rocky Mountain,Denver,Colorado,United States,1,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
