Company,City,State,Phone,Website,LinkedIn,Natoli Fit,Territory,Sales Rep,Industry,Confidence,Reason,503A,503B,GMP Likely,FDA Likely,Industry Match
"Global Nuclear Fuel - Americas, LLC",Wilmington,NC,-6584,https://www.ge.com/nuclear,https://linkedin.com/company/ge-power-energy-connections,Engineering,Southeast,Danny Ambrose,nuclear fuel pellet manufacturing,90,Manufactures nuclear fuel including pellets for power plants.,,,,,Yes
Framatome Inc.,Lynchburg,VA,-3265,https://www.framatome.com,https://linkedin.com/company/framatome,Engineering,Northeast,Raffaele Romano,nuclear fuel pellet manufacturing,90,"Supplies nuclear fuel and services, including pellet manufacturing.",,,,,Yes
"BWX Technologies, Inc.",Lynchburg,VA,-6955,https://www.bwxt.com,https://linkedin.com/company/bwxtechnologies,Engineering,Northeast,Raffaele Romano,nuclear fuel pellet manufacturing,90,Produces nuclear components and fuel including pellets.,,,,,Yes
Areva Inc.,Bethesda,MD,-2741,https://www.orano.group,https://linkedin.com/company/orano,Engineering,Northeast,Raffaele Romano,nuclear fuel pellet manufacturing,90,Involved in the nuclear fuel cycle including pellet manufacturing.,,,,,Yes
"Nuclear Fuel Services, Inc.",Erwin,TN,-10306,https://www.nuclearfuelservices.com,,Engineering,Southeast,Danny Ambrose,nuclear fuel pellet manufacturing,85,Processes and manufactures nuclear fuel pellets.,,,,,Yes
Energy Harbor Corp.,Akron,OH,-4937,https://energyharbor.com,https://linkedin.com/company/energyharbor,Engineering,Central,David Nelson,nuclear fuel pellet manufacturing,90,Operates nuclear power plants and involved in fuel cycle management.,,,,,Yes
Terrestrial Energy USA,Charlotte,NC,-7858,https://www.terrestrialenergy.com,https://linkedin.com/company/terrestrial-energy,Engineering,Southeast,Danny Ambrose,nuclear fuel pellet manufacturing,90,Develops advanced nuclear reactors with pellet-based fuel technology.,,,,,Yes
X-energy,Rockville,MD,-6258,https://x-energy.com,https://linkedin.com/company/x-energy,Engineering,Northeast,Raffaele Romano,nuclear fuel pellet manufacturing,90,Develops nuclear reactors and fuel technology involving pellets.,,,,,Yes
Southern Company,Atlanta,GA,-5909,https://www.southerncompany.com,https://linkedin.com/company/southern-company,Engineering,Southeast,Danny Ambrose,nuclear fuel pellet manufacturing,90,Operates nuclear energy facilities and involved in fuel technology.,,,,,Yes
Dominion Energy,Richmond,VA,-3622,https://www.dominionenergy.com,https://linkedin.com/company/dominion-energy,Engineering,Northeast,Raffaele Romano,nuclear fuel pellet manufacturing,90,"Operates nuclear power plants, requiring fuel pellet technology.",,,,,Yes
