Company,Industry,Tier,Division,Fit,Territory,City,State,Country,Contacts,Tier1 Reason
Bio-Rad Laboratories,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Copenhagen,Capital Region of Denmark,Denmark,196,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Syngenta,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Basel,Basel-Stadt,Switzerland,173,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
takeda.co.id,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,104,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ALBEMARLE CATALYSTS COMPANY BV,Battery Manufacturing,Tier 1,Natoli Engineering,Tooling,International,Charlotte,North Carolina,Netherlands,103,Battery electrode manufacturer with cathode/anode compaction for cell production.
Akums Drugs& Pharmaceuticals Ltd,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,New Delhi,Delhi,India,98,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Lonza,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,International,Basel,Basel-Stadt,Switzerland,72,Contract development and manufacturing organization serving pharma clients with tablet production.
"BOEHRINGER INGELHEIM VETMEDICA, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,51,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"Traeger, Inc.",Confectionery,Tier 1,Natoli Engineering,Tooling,International,Salt Lake City,Utah,China,45,Candy/mint manufacturer with high-volume tablet pressing operations.
ABIC VETERINARY PRODUCTS LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Tel Aviv-Yafo,Tel Aviv District,Israel,36,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Farmaco,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Araguaina,Tocantins,Brazil,36,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
PATHEON INC. C/O THERMO FISHER SCIENTIFIC,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,International,Karlsruhe,Baden-Wuerttemberg,Germany,30,Contract development and manufacturing organization serving pharma clients with tablet production.
STRIDES USA,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,27,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Perrigo Company plc,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Dublin,County Dublin,Ireland,25,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"GLANBIA PERFORMANCE NUTRITION, INC.",Nutraceutical,Tier 1,Natoli Scientific,Formulation,International,London,England,United Kingdom,21,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Balchem Corporation,Nutraceutical,Tier 1,Natoli Scientific,Formulation,International,The Hague,South Holland,Netherlands,21,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
TEVA TAKEDA PHARMA LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Nagoya,Aichi,Japan,20,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
SQUARE PHARMA INC.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Dhaka,Dhaka Division,Bangladesh,18,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
STORM Therapeutics Limited,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Cambridge,England,United Kingdom,18,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
TEVA CZECH INDUSTRIES S.R.O.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,18,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
FAMAR ANONYMOUS INDUSTRIAL CO. OF PHARMACEUTICALS AND COSMETICS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,Greece,18,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
MYLAN PHARMACEUTICALS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,17,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Novo Nordisk Pharma GmbH,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Mainz,Rhineland-Palatinate,Germany,17,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"Standard Chem & Pharm CO., LTD.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Tainan,Tainan City,Taiwan,17,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
HIKMA PHARMACEUTICALS LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,As-Salt,Balqa Governorate,Jordan,17,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"HUAHAI US, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,16,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"PHARMALAB, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Levis,Quebec,Canada,16,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
sanofi-aventis.com,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,16,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
TEVA LLC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,15,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
PHARMAVITE LLC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,15,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Haleon,Nutraceutical,Tier 1,Natoli Scientific,Formulation,International,Weybridge,England,United Kingdom,15,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
MEDELPHARM,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,International,Beynost,Rhone-Alpes,France,14,Contract development and manufacturing organization serving pharma clients with tablet production.
"PNP PHARMACEUTICALS, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Burnaby,British Columbia,Canada,14,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"Sanjeevani Rural Education Societys Sanjeevani College of Pharmaceutical & Research, At. Sahajanandn",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Kopargaon,Maharashtra,India,14,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"UNILAB PHARMACEUTICALS CO., LTD.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,14,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Upperton Pharma Solutions,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Beeston,England,United Kingdom,14,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
E-PHARMA,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Trento,Trentino-Alto Adige/South Tyrol,Italy,14,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
filpharmascience.com,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,14,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Almac Group,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Belfast,Northern Ireland,United Kingdom,14,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
AGL Group,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Chennai,Tamil Nadu,India,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"ALPHORA RESEARCH IN., A DIVISION OF EUROFINS",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
APOTEX NZ LTD,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Bayer,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Leverkusen,Nordrhein-Westfalen,Germany,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
GLOBAL BLOOD THERAPEUTICS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
TEVA KUTNO,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,Lesser Poland Voivodeship,,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Teva México,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,Federal District,Mexico,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
AMNEAL PHARMACEUTICALS PVT. LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
