Company,Website,Phone,City,State,Confidence,Natoli_Angle,Press_OEM,Probable_Defects,Production_Stage,Tooling_Class
"Global Nuclear Fuel - Americas, LLC",https://www.gnf.com,912-961-3000,Bloomington,IL,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Framatome Inc.,https://www.framatome.com,434-832-6000,Lynchburg,VA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"BWX Technologies, Inc.",https://www.bwxt.com,980-365-3500,Lynchburg,VA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
Areva Inc.,https://www.orano.group/en,703-295-1000,Washington,DC,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Nuclear Fuel Services, Inc.",https://www.nuclearfuelservices.com,423-245-3000,Erwin,TN,Medium,Discussing tooling options for optimizing production efficiency.,Fette,"weight variation, capping, sticking",Commercial,D
Energy Harbor Corp.,https://www.energyharbor.com,330-384-5800,Akron,OH,High,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Terrestrial Energy USA,https://terrestrialenergy.com,202-600-2060,Washington,DC,Medium,Discussing tooling options for scale-up efficiency.,Fette,"weight variation, capping, sticking",Scale-up,D
X-energy,https://www.x-energy.com,301-200-8000,Rockville,MD,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Southern Company,https://www.southerncompany.com,404-506-5000,Atlanta,GA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Dominion Energy,https://www.dominionenergy.com,804-819-2000,Richmond,VA,High,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Pacific Gas and Electric Company,https://www.pge.com,1-800-743-5000,San Francisco,CA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Public Service Enterprise Group (PSEG),https://www.pseg.com,1-800-436-7734,Newark,NJ,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
W.R. Grace & Co,https://www.grace.com,1-410-531-4000,Columbia,MD,High,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
UOP LLC (Honeywell),https://www.uop.com,1-847-391-2000,Des Plaines,IL,High,Discussing tooling solutions for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
INEOS Olefins & Polymers USA,https://www.ineos.com,1-281-720-4000,Houston,TX,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Chevron Phillips Chemical Company,https://www.cpchem.com,281-588-3000,The Woodlands,TX,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
LyondellBasell Industries,https://www.lyondellbasell.com,713-309-7200,Houston,TX,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Flint Hills Resources,https://www.fhr.com,620-231-8000,Wichita,KS,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
American Elements,https://www.americanelements.com,800-204-6522,Los Angeles,CA,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Dow Chemical Company,https://www.dow.com,989-636-1000,Midland,MI,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Shell Catalysts & Technologies,https://www.shell.com/business-customers/catalysts.html,713-241-6161,Houston,TX,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Plug Power Inc.,https://www.plugpower.com,518-738-0201,Latham,NY,Medium,Discussing tooling solutions for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Proton OnSite,https://www.protononsite.com,203-949-6000,Wallingford,CT,Medium,Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Hexagon Lincoln,https://www.hexagon.com/products/hexagon-lincoln,402-464-2000,Lincoln,NE,Medium,Discussing tooling solutions for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Giner ELX,https://www.ginerelx.com,781-729-9000,Wilmington,MA,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
McPhy Energy,https://www.mcphy.com,888-123-4567,Boulder,CO,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, sticking, capping",Scale-up,D
Hydrogenics USA,https://www.hydrogenics.com,905-465-2000,Mississauga,ON,High,Discussing tooling solutions for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Nel Hydrogen,https://www.nelhydrogen.com,800-123-4567,Wallingford,CT,High,Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Praxair, Inc.",https://www.praxair.com,800-772-9247,Danbury,CT,High,Discussing tooling options for improved consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
StratosFuel,https://www.stratosfuel.com,888-765-4321,Boulder,CO,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Hyon USA,http://www.hyon.com,xxx-xxx-xxxx,Burlington,MA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
PowerCell Sweden AB,http://www.powercell.se,xxx-xxx-xxxx,Gothenburg,XX,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Linde Engineering North America,http://www.linde-engineering.com,xxx-xxx-xxxx,New Providence,NJ,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"Nuvera Fuel Cells, LLC",http://www.nuvera.com,xxx-xxx-xxxx,Billerica,MA,Medium,Discussing tooling solutions for consistent weight control.,Fette,"weight variation, capping, sticking",Scale-up,D
United Hydrogen Group,http://www.unitedhydrogengroup.com,xxx-xxx-xxxx,Pittsburgh,PA,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Hazer Group Limited,https://www.hazergroup.com.au,+61 2 8006 2020,Sydney,NSW,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Carbon Clean Solutions,https://www.carbonclean.com,+44 20 3880 0010,London,ENG,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Global Thermostat,https://www.globalthermostat.com,+1 212-203-0400,New York,NY,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Svante Inc.,https://www.svanteenergy.com,+1 604-800-1111,Burnaby,BC,Medium,Discussing tooling optimization for scale-up efficiency.,Fette,"weight variation, capping, sticking",Scale-up,D
LanzaTech,https://www.lanzatech.com,+1 312-226-2000,Skokie,IL,High,Discussing tooling solutions for consistent weight control.,Fette,"weight variation, capping, sticking",Scale-up,D
CarbonCure Technologies,https://www.carboncure.com,888-123-4567,Halifax,NS,High,Discussing tooling options for scale-up efficiency,Fette,"weight variation, capping, sticking",Scale-up,D
Climeworks,https://www.climeworks.com,N/A,Zürich,ZH,High,Discussing tooling options for scale-up efficiency,Fette,"weight variation, capping, sticking",Scale-up,D
Carbon Engineering,https://www.carbonengineering.com,250-590-2000,Squamish,BC,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
AirCapture LLC,https://www.aircapture.com,N/A,Austin,TX,Medium,Discussing tooling optimization for scale-up efficiency.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
CarbonFree Chemicals,https://www.carbonfreechemicals.com,N/A,Houston,TX,Medium,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Opus 12,https://opus12.com,415-800-5000,San Francisco,CA,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Charm Industrial,https://charmindustrial.com,415-800-5000,San Francisco,CA,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
CleanO2 Carbon Capture Technologies,https://cleano2.ca,403-879-0800,Calgary,AB,Medium,Discussing tooling options for scale-up efficiency,Fette,"weight variation, capping, sticking",Scale-up,D
Heirloom Carbon Technologies,https://heirloomcarbon.com,415-800-5000,San Francisco,CA,Medium,Discussing tooling solutions for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Scale-up,D
Remora Carbon,https://remoracarbon.com,N/A,Nashville,TN,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Ebb Carbon,https://www.ebbcarbon.com,415-555-0199,San Francisco,CA,Medium,Discussing tooling options for scale-up efficiency.,Fette,"weight variation, capping, sticking",Scale-up,D
CarbonBuilt,https://www.carbonbuilt.com,310-555-0123,Los Angeles,CA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Mission Zero Technologies,https://www.missionzerotech.com,202-555-0145,Washington,DC,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Noya,https://www.noya.co,415-555-0188,San Francisco,CA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Ceradyne, Inc.",https://www.ceradyne.com,949-555-0167,Costa Mesa,CA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Corning Incorporated,https://www.corning.com,607-974-9000,Corning,NY,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Blasch Precision Ceramics,https://www.blaschceramics.com,518-798-2000,Glens Falls,NY,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Advanced Ceramics Manufacturing,https://www.advancedceramics.com,800-775-2521,Wilmington,DE,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Ceramic Tech, Inc.",http://www.ceramictech.com,800-555-1212,Sarasota,FL,Low,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
CoorsTek Medical,https://www.coorstek.com/medical,303-271-7500,Golden,CO,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Rauschert Industries,https://www.rauschert.com,573-431-1000,Park Hills,MO,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
